lat,lng,iso2,city_ascii,admin_name
22.5890,120.5303,TW,Zhutian,Pingtung
50.5856,3.0439,FR,Wattignies,Hauts-de-France
12.4667,75.0000,IN,Kalanadu,Kerala
26.9833,77.5833,IN,Rupbas,Rājasthān
20.8834,-156.5059,US,Wailuku,Hawaii
17.6736,82.9634,IN,Kasimkota,Andhra Pradesh
14.7000,-91.1167,GT,San Antonio Palopo,Sololá
13.7280,-60.9540,LC,Vieux Fort,Vieux-Fort
54.1072,10.8158,DE,Neustadt in Holstein,Schleswig-Holstein
14.1381,-5.0178,ML,Diafarabe,Mopti
43.6092,-72.9783,US,Rutland,Vermont
-24.0028,-53.7039,BR,Ipora,Paraná
25.3561,86.2082,IN,Sonapur,Bihār
47.3851,9.2786,CH,Herisau,Appenzell Ausserrhoden
33.3731,52.3689,IR,Ardestan,Eşfahān
-7.6200,13.0300,AO,Quimavango,Zaire
-27.3167,-61.2833,AR,General Pinedo,Chaco
50.5453,12.7792,DE,Schwarzenberg,Saxony
50.1039,13.7333,CZ,Rakovnik,Středočeský Kraj
45.2000,20.3000,RS,Titel,Titel
-12.7119,-39.6978,BR,Itatim,Bahia
48.2833,17.7333,SK,Sered',Trnava
-19.3089,-47.5242,BR,Santa Juliana,Minas Gerais
-10.9539,-40.5758,BR,Mirangaba,Bahia
54.8000,35.9333,RU,Kondrovo,Kaluzhskaya Oblast’
49.4433,-96.8492,CA,Hanover,Manitoba
40.5539,-3.3261,ES,Meco,Madrid
52.3331,8.7500,DE,Hille,North Rhine-Westphalia
11.8333,76.0333,IN,Trisshileri,Kerala
36.1955,138.4792,JP,Usuda,Nagano
60.7381,5.1600,NO,Lindas,Vestland
33.3262,-86.6300,US,Chelsea,Alabama
54.2500,12.4667,DE,Ribnitz-Damgarten,Mecklenburg-Western Pomerania
-27.5850,-50.3608,BR,Correia Pinto,Santa Catarina
4.8658,-73.8772,CO,Guasca,Cundinamarca
11.5500,78.2833,IN,Puduppatti,Tamil Nādu
35.8729,137.9751,JP,Minamiminowa,Nagano
41.4169,1.9314,ES,Corbera de Llobregat,Catalonia
50.7500,-1.5500,GB,Lymington,Hampshire
45.5500,9.3333,IT,Carugate,Lombardy
-17.0314,-48.2958,BR,Orizona,Goiás
1.5833,-75.2500,CO,La Montanita,Caquetá
16.9116,81.3569,IN,Dubacherla,Andhra Pradesh
42.0475,-72.5718,US,Longmeadow,Massachusetts
-24.5919,-52.7989,BR,Campina da Lagoa,Paraná
49.9000,8.8500,DE,Dieburg,Hesse
32.0217,-110.6937,US,Vail,Arizona
50.9167,3.4333,BE,Zulte,Flanders
50.3219,10.2161,DE,Bad Neustadt,Bavaria
10.6722,76.4694,IN,Tarur,Kerala
17.1000,-96.7667,MX,San Jacinto Amilpas,Oaxaca
40.8258,-77.9237,US,Patton,Pennsylvania
-10.7378,-37.0819,BR,Maruim,Sergipe
54.0084,-1.4670,GB,Knaresborough,North Yorkshire
51.3519,7.1217,DE,Langenberg,North Rhine-Westphalia
11.5833,75.7333,IN,Eravattur,Kerala
35.0004,-114.5748,US,Fort Mohave,Arizona
9.1847,76.5446,IN,Bharanikavu Tekku,Kerala
48.8923,2.1331,FR,Le Vesinet,Île-de-France
-36.4878,-72.7028,CL,Coelemu,Ñuble
26.5408,85.8590,IN,Sahar,Bihār
46.7831,7.6333,CH,Steffisburg,Bern
19.2200,-70.0300,DO,Castillo,Cibao Nordeste
49.3167,20.6833,SK,Stara L'ubovna,Prešov
48.8894,26.8569,UA,Dunaivtsi,Khmelnytska Oblast
46.5167,6.5000,CH,Morges,Vaud
42.8372,-88.7341,US,Whitewater,Wisconsin
17.3473,78.8195,IN,Pochampalli,Andhra Pradesh
-11.7172,24.4289,ZM,Mwinilunga,North-Western
18.5039,-71.3400,DO,Galvan,Enriquillo
40.6797,-75.5788,US,North Whitehall,Pennsylvania
53.2800,-3.8300,GB,Conwy,Conwy
24.0415,85.9536,IN,Beko,Jhārkhand
0.4533,32.6347,UG,Kimwanyi,Wakiso
34.5111,135.7069,JP,Taima,Nara
47.3914,0.7289,FR,Saint-Pierre-des-Corps,Centre-Val de Loire
51.4861,5.1367,NL,Hilvarenbeek,Noord-Brabant
30.3761,-9.3203,MA,Oulad Alioua,Souss-Massa
50.0339,20.2172,PL,Niepolomice,Małopolskie
48.8247,3.1068,FR,Coulommiers,Île-de-France
41.6963,-93.0403,US,Newton,Iowa
43.8081,4.6442,FR,Beaucaire,Occitanie
43.4403,4.9486,FR,Fos-sur-Mer,Provence-Alpes-Côte d’Azur
42.3231,-71.6462,US,Northborough,Massachusetts
33.3833,-7.1333,MA,Mellila,Casablanca-Settat
17.5203,99.7640,TH,Si Satchanalai,Sukhothai
17.1530,78.6195,IN,Turkaguda,Andhra Pradesh
24.4341,87.7849,IN,Damdama,Jhārkhand
40.8914,20.6814,AL,Bucimas,Korçë
51.1333,3.3333,BE,Beernem,Flanders
37.3066,137.1500,JP,Noto,Ishikawa
55.0362,9.4180,DK,Aabenraa,Syddanmark
36.6930,113.7950,CN,Xixucun,Hebei
51.7600,-1.5900,GB,Carterton,Oxfordshire
42.7833,12.4167,IT,Todi,Umbria
45.8833,12.7167,IT,Azzano Decimo,Friuli Venezia Giulia
-21.3036,47.6387,MG,Ifanadiana,Fianarantsoa
42.1039,-87.9267,US,Prospect Heights,Illinois
13.6411,124.3008,PH,San Miguel,Catanduanes
-11.7197,-62.3158,BR,Nova Brasilandia d'Oeste,Rondônia
37.9833,-3.4667,ES,Baeza,Andalusia
47.5333,7.5667,CH,Binningen,Basel-Landschaft
42.2500,140.2667,JP,Yakumo,Hokkaidō
32.7039,51.1525,IR,Tiran,Eşfahān
44.9000,11.8333,IT,Copparo,Emilia-Romagna
29.5333,71.6333,PK,Dhanot,Punjab
39.8769,-74.9724,US,Springdale,New Jersey
49.5469,0.1889,FR,Montivilliers,Normandie
4.0045,126.6827,ID,Melonguane,Sulawesi Utara
24.0462,121.1304,TW,Renai,Nantou
38.8373,-76.9641,US,Hillcrest Heights,Maryland
